,seed,recommender,annotated,skipped,budget
72,0,LinUCB,443.0,88,1100
73,0,LinUCB,443.0,88,1100
74,0,LinUCB,443.0,88,1100
75,0,LinUCB,443.0,88,1100
76,0,LinUCB,443.0,88,1100
77,0,LinUCB,443.0,88,1100
78,0,LinUCB,443.0,88,1100
79,0,LinUCB,443.0,88,1100
80,0,LinUCB,443.0,88,1100
81,0,LinUCB,443.0,88,1100
82,0,LinUCB,443.0,88,1100
83,0,LinUCB,443.0,88,1100
84,0,LinUCB,443.0,88,1100
85,0,LinUCB,443.0,88,1100
86,0,LinUCB,443.0,88,1100
87,0,LinUCB,443.0,88,1100
88,0,LinUCB,443.0,88,1100
89,0,LinUCB,443.0,88,1100
90,0,LinUCB,443.0,88,1100
91,0,LinUCB,443.0,88,1100
92,0,LinUCB,443.0,88,1100
93,0,LinUCB,443.0,88,1100
94,0,LinUCB,443.0,88,1100
95,0,LinUCB,443.0,88,1100
96,0,LinUCB,477.0,239,1300
97,0,LinUCB,477.0,239,1300
98,0,LinUCB,477.0,239,1300
99,0,LinUCB,477.0,239,1300
100,0,LinUCB,477.0,239,1300
101,0,LinUCB,477.0,239,1300
102,0,LinUCB,477.0,239,1300
103,0,LinUCB,477.0,239,1300
104,0,LinUCB,477.0,239,1300
105,0,LinUCB,477.0,239,1300
106,0,LinUCB,477.0,239,1300
107,0,LinUCB,477.0,239,1300
108,0,LinUCB,477.0,239,1300
109,0,LinUCB,477.0,239,1300
110,0,LinUCB,477.0,239,1300
111,0,LinUCB,477.0,239,1300
112,0,LinUCB,477.0,239,1300
113,0,LinUCB,477.0,239,1300
114,0,LinUCB,483.0,433,1500
115,0,LinUCB,483.0,433,1500
116,0,LinUCB,483.0,433,1500
117,0,LinUCB,483.0,433,1500
118,0,LinUCB,483.0,433,1500
119,0,LinUCB,483.0,433,1500
120,0,LinUCB,483.0,433,1500
121,0,LinUCB,483.0,433,1500
122,0,LinUCB,483.0,433,1500
123,0,LinUCB,483.0,433,1500
124,0,LinUCB,483.0,433,1500
125,0,LinUCB,483.0,433,1500
126,0,LinUCB,483.0,433,1500
127,0,LinUCB,483.0,433,1500
128,0,LinUCB,483.0,433,1500
