,seed,recommender,annotated,skipped,budget
148,0,ClustersTS(L=2),332,72,1700
149,0,ClustersTS(L=2),356,215,1900
150,0,ClustersTS(L=5),1,2,100
151,0,ClustersTS(L=5),10,5,300
152,0,ClustersTS(L=5),34,7,500
153,0,ClustersTS(L=5),62,12,700
154,0,ClustersTS(L=5),96,15,900
155,0,ClustersTS(L=5),147,20,1100
156,0,ClustersTS(L=5),190,30,1300
157,0,ClustersTS(L=5),245,39,1500
158,0,ClustersTS(L=5),245,39,1500
159,0,ClustersTS(L=5),245,39,1500
160,0,ClustersTS(L=5),292,47,1700
161,0,ClustersTS(L=5),292,47,1700
162,0,ClustersTS(L=5),292,47,1700
163,0,ClustersTS(L=5),292,47,1700
164,0,ClustersTS(L=5),292,47,1700
165,0,ClustersTS(L=5),337,61,1900
166,0,ClustersTS(L=10),0,2,100
167,0,ClustersTS(L=10),6,6,300
168,0,ClustersTS(L=10),31,11,500
169,0,ClustersTS(L=10),55,16,700
170,0,ClustersTS(L=10),89,20,900
171,0,ClustersTS(L=10),126,30,1100
172,0,ClustersTS(L=10),162,35,1300
173,0,ClustersTS(L=10),162,35,1300
174,0,ClustersTS(L=10),210,39,1500
175,0,ClustersTS(L=10),262,47,1700
176,0,ClustersTS(L=10),262,47,1700
177,0,ClustersTS(L=10),262,47,1700
178,0,ClustersTS(L=10),321,57,1900
179,0,LSHNearest,2,5,100
180,0,LSHNearest,13,16,300
181,0,LSHNearest,38,28,500
182,0,LSHNearest,68,44,700
183,0,LSHNearest,105,67,900
184,0,LSHNearest,105,67,900
185,0,LSHNearest,135,77,1100
186,0,LSHNearest,191,100,1300
187,0,LSHNearest,233,129,1500
188,0,LSHNearest,233,129,1500
189,0,LSHNearest,233,129,1500
190,0,LSHNearest,233,129,1500
191,0,LSHNearest,233,129,1500
192,0,LSHNearest,279,168,1700
193,0,LSHNearest,320,232,1900
